,hl,hr,thetal_radian,thetar_radian,thetal_degree,thetar_degree,center_a,center_b,time
179,-0.0001100523,0.0000206642,1.0004282000,1.7755123000,57.320313565869824,101.72936126356566,0.0005147416392845971,-0.0005817539358408713,0.0179000000
180,-0.0001101974,0.0000208529,1.0007691000,1.7777516000,57.33984569710584,101.85766370262932,0.0005182767546083387,-0.0005876823934764381,0.0180000000
181,-0.0001103437,0.0000210381,1.0000873000,1.7787443000,57.30078143463381,101.91454122295195,0.0005194509238044483,-0.0005881141430881828,0.0181000000
182,-0.0001104875,0.0000212219,0.9994055300,1.7799861000,57.26171889103518,101.98569112195129,0.0005209923982936745,-0.0005891157344625697,0.0182000000
183,-0.0001106289,0.0000214037,0.9987237600,1.7809792000,57.22265634743655,102.04259156058575,0.0005221709103468114,-0.0005895510180142968,0.0183000000
184,-0.0001107678,0.0000215841,0.9990646400,1.7829721000,57.24218733275696,102.15677631957738,0.0005254260830210089,-0.0005950374746284321,0.0184000000
185,-0.0001109079,0.0000217615,0.9977011000,1.7832163000,57.1640622455597,102.17076794893447,0.0005251021647284405,-0.0005919162723961059,0.0185000000
186,-0.0001110431,0.0000219385,0.9983828700,1.7857097000,57.20312478915833,102.31362924557237,0.0005293440322708257,-0.000599541042702081,0.0186000000
187,-0.0001111807,0.0000221117,0.9970193400,1.7859540000,57.12500027491886,102.32762660450743,0.0005290051915451077,-0.0005963887080340527,0.0187000000
188,-0.0001113134,0.0000222846,0.9966784500,1.7871988000,57.105468716640644,102.39894839084532,0.0005307843406807365,-0.0005983548095542853,0.0188000000
189,-0.0001114449,0.0000224556,0.9970193400,1.7891944000,57.12500027491886,102.51328784844162,0.0005341357316348044,-0.0006039830083087729,0.0189000000
190,-0.0001115776,0.0000226236,0.9963375700,1.7901894000,57.08593773132022,102.57029714905714,0.0005353478832570851,-0.0006044530648351539,0.0190000000
191,-0.0001117078,0.0000227901,0.9956558000,1.7909352000,57.04687518772159,102.613028341418,0.0005361767761982299,-0.0006043304025841573,0.0191000000
192,-0.0001118356,0.0000229554,0.9953149100,1.7921814000,57.02734362944338,102.6844303418472,0.0005379924471824435,-0.0006063465068542465,0.0192000000
193,-0.0001119621,0.0000231189,0.9946331400,1.7929275000,56.98828108584474,102.7271787229419,0.0005388232436011069,-0.0006062247217861899,0.0193000000
194,-0.0001120862,0.0000232813,0.9949740300,1.7949257000,57.00781264412296,102.84166714956496,0.0005422642917355841,-0.0006119818056766224,0.0194000000
195,-0.0001122115,0.0000234407,0.9942922600,1.7956722000,56.968750100524325,102.88443844897147,0.0005431013550218106,-0.0006118642913658409,0.0195000000
196,-0.0001123343,0.0000235989,0.9936104900,1.7964188000,56.929687556925685,102.92721547795594,0.0005439380240724504,-0.0006117461436904124,0.0196000000
197,-0.0001124547,0.0000237560,0.9939513700,1.7984186000,56.94921854224611,103.04179557782619,0.0005474383796423146,-0.0006175917223981351,0.0197000000
198,-0.0001125763,0.0000239102,0.9932696000,1.7991657000,56.910155998647475,103.08460125470042,0.0005482815284555909,-0.0006174779337881314,0.0198000000
199,-0.0001126954,0.0000240632,0.9925878400,1.7999129000,56.87109402800663,103.12741266115259,0.0005491242453678178,-0.000617363468820547,0.0199000000
200,-0.0001128121,0.0000242150,0.9929287200,1.8016643000,56.89062501332705,103.22776048939181,0.0005522789839257985,-0.000622676315194409,0.0200000000
201,-0.0001129300,0.0000243643,0.9922469500,1.8024119000,56.85156246972842,103.27059481415579,0.000553127449077574,-0.0006225655562842534,0.0201000000
